,MW,nHBDon,nHBAcc,ALogP,Activity
1,354.1379708,2,3,1.7057,Active
2,419.1878776,2,7,2.4655,Active
3,336.1473927,2,3,1.5002,Active
4,335.1521437,3,2,2.5923,Active
5,510.2518578,1,4,3.8984,Active
6,572.1671401,2,7,5.0967,Active
7,557.1751201,1,7,2.0033,Active
8,583.2066985,5,9,1.0839,Active
9,464.1866707,2,4,2.8804,Active
10,518.1042246,5,12,-1.3162,Active
11,517.294057,1,5,1.4701,Active
12,489.2627569,1,5,0.1209,Active
13,545.3253572,1,5,2.2257,Active
14,561.3202718,1,6,2.6708,Active
15,543.2419332,1,4,1.8849,Active
16,549.2758201,1,5,2.9065,Active
17,549.1464238,5,13,-2.2061,Active
18,554.1765619,2,7,4.7638,Active
19,626.1617395,4,12,0.7971,Active
20,460.2362078,1,5,2.123,Active
21,528.1485709,1,6,2.2849,Active
22,466.2023208,1,4,2.9456,Active
23,625.2143627,1,5,5.4833,Active
24,493.2132198,1,5,2.953,Active
25,535.2601701,1,5,2.7052,Active
26,611.1987126,2,5,5.381,Active
27,507.2288699,2,5,2.4756,Active
28,409.1096272,2,7,0.7155,Active
29,641.136253,4,12,0.7154,Active
30,639.2300128,2,5,5.3309,Active
31,579.1924844,2,5,4.9458,Active
32,558.170369,1,6,3.598,Active
33,681.2405775,2,6,4.2152,Active
34,611.1987126,2,5,5.4114,Active
35,520.1198747,4,12,-0.2964,Active
36,667.2249274,1,6,4.9614,Active
37,438.1710206,1,4,2.9957,Active
38,607.2237845,1,5,5.1504,Active
39,564.2233516,3,9,0.418,Active
40,626.1617395,4,12,0.7971,Active
41,571.1718911,2,6,5.9405,Active
42,625.2143627,1,5,5.5137,Active
43,323.1521437,1,2,2.042,Active
44,615.15947,2,6,4.7217,Active
45,418.2256431,1,4,2.6901,Active
46,583.1918776,2,6,5.7186,Active
47,467.2096586,1,2,4.3075,Active
48,509.2081344,1,6,2.2614,Active
49,422.2005712,1,4,2.5368,Active
50,434.2205577,1,4,2.0601,Active
51,503.210633,1,4,3.1851,Active
52,665.2456629,1,5,4.2283,Active
53,593.2081344,2,5,5.0481,Active
54,578.1972354,1,4,5.467,Active
55,501.2991424,1,5,1.9134,Active
56,537.2802988,1,5,2.0117,Active
57,491.3147925,1,5,-0.0461,Active
58,405.1722276,2,7,0.9386,Active
59,625.1413384,5,14,-0.4544,Active
60,374.1994283,1,3,3.0464,Active
61,570.2114495,4,7,1.5493,Active
62,639.2300128,1,5,5.7641,Active
63,523.2140924,1,7,1.2115,Active
64,540.2008848,4,7,1.5959,Active
65,626.125354,5,14,-0.0594,Active
